Iteration,Method,Prune_Ratio,Baseline_Candidate_Acc,Accuracy_After_Finetuning,Training_Time_sec,Compression_Rate,Params,Baseline_Accuracy,Baseline_FLOPs
423,Random,0.2,88.3,89.06,77.44403767585754,1.2548862445280227,162190.0,88.71,203264.0
627,Random,0.2,88.3,89.16,75.21512174606323,1.2548862445280227,162190.0,88.71,203264.0
714,Random,0.2,88.3,88.95,74.97505927085876,1.2548862445280227,162190.0,88.71,203264.0
867,Random,0.2,88.3,88.8,77.5351288318634,1.2548862445280227,162190.0,88.71,203264.0
925,Random,0.2,88.3,88.95,76.79771399497986,1.2548862445280227,162190.0,88.71,203264.0
990,Random,0.2,88.3,88.75,75.03833556175232,1.2548862445280227,162190.0,88.71,203264.0
948,Random,0.2,88.3,89.25,83.4108636379242,1.2548862445280227,162190.0,88.71,203264.0
188,Random,0.2,88.3,88.43,76.83549427986145,1.2548862445280227,162190.0,88.71,203264.0
217,Random,0.2,88.3,88.48,72.44553112983704,1.2548862445280227,162190.0,88.71,203264.0
286,Random,0.2,88.3,88.26,72.18643260002136,1.2548862445280227,162190.0,88.71,203264.0
97,Random,0.2,88.3,89.17,70.24892258644104,1.2548862445280227,162190.0,88.71,203264.0
39,Random,0.2,88.3,88.64,79.18566083908081,1.2548862445280227,162190.0,88.71,203264.0
103,Random,0.2,88.3,88.17,75.44982576370239,1.2548862445280227,162190.0,88.71,203264.0
120,Random,0.2,88.3,88.64,77.6600432395935,1.2548862445280227,162190.0,88.71,203264.0
718,Random,0.2,88.3,88.42,76.37771391868591,1.2548862445280227,162190.0,88.71,203264.0
456,Random,0.2,88.25,88.76,74.82824182510376,1.2548862445280227,162190.0,88.71,203264.0
529,Random,0.2,88.25,89.12,77.37797045707703,1.2548862445280227,162190.0,88.71,203264.0
339,Random,0.2,88.25,89.11,75.8246078491211,1.2548862445280227,162190.0,88.71,203264.0
370,Random,0.2,88.25,88.3,74.52994799613953,1.2548862445280227,162190.0,88.71,203264.0
371,Random,0.2,88.25,88.89,73.90330266952515,1.2548862445280227,162190.0,88.71,203264.0
387,Random,0.2,88.25,88.96,72.78543138504028,1.2548862445280227,162190.0,88.71,203264.0
402,Random,0.2,88.25,88.73,72.63522911071777,1.2548862445280227,162190.0,88.71,203264.0
580,Random,0.2,88.25,88.85,69.685142993927,1.2548862445280227,162190.0,88.71,203264.0
886,Random,0.2,88.25,89.06,61.59220504760742,1.2548862445280227,162190.0,88.71,203264.0
690,Random,0.2,88.25,88.87,68.395028591156,1.2548862445280227,162190.0,88.71,203264.0
651,Random,0.2,88.25,89.0,72.39198732376099,1.2548862445280227,162190.0,88.71,203264.0
965,Random,0.2,88.25,88.77,62.59210968017578,1.2548862445280227,162190.0,88.71,203264.0
167,Random,0.2,88.25,88.63,66.71467661857605,1.2548862445280227,162190.0,88.71,203264.0
173,Random,0.2,88.25,89.35,66.29034686088562,1.2548862445280227,162190.0,88.71,203264.0
237,Random,0.2,88.25,89.07,59.12339425086975,1.2548862445280227,162190.0,88.71,203264.0
